GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hoot-compiler,Hoot.Compiler.Scopes,File,109,542,25,27,17,112,30,55,11,48
hoot-compiler,Hoot.Compiler.Scopes,BlockContent,21,301,7,49,3,62,11,47,4,26
hoot-compiler,Hoot.Compiler.Scopes,ClassSignature,100,373,25,21,9,74,25,40,8,34
hoot-compiler,Hoot.Compiler.Scopes,ClosureCompiler,213,0,2,0,44,0,22,0,21,0
hoot-compiler,Hoot.Compiler.Scopes,Face,578,480,87,39,110,96,100,73,52,58
hoot-compiler,Hoot.Compiler.Scopes,Method,70,307,14,26,12,45,17,48,8,37
hoot-compiler,Hoot.Compiler.Scopes,TokenCompiler,29,180,6,8,9,36,7,19,2,17
hoot-compiler,Hoot.Compiler.Scopes,TypeSignature,66,205,11,7,9,43,14,27,8,24
hoot-compiler,Hoot.Compiler.Scopes,UnarySignature,5,21,0,0,1,7,1,3,1,3
hoot-compiler,Hoot.Compiler.Scopes,ClosureSource,89,6,0,2,9,1,9,2,9,1
hoot-compiler,Hoot.Compiler.Scopes,BasicSignature,9,261,3,21,2,48,4,39,2,29
hoot-compiler,Hoot.Compiler.Scopes,KeywordSignature,19,67,0,2,3,13,3,5,3,4
hoot-compiler,Hoot.Compiler.Scopes,ProtocolScope,21,0,2,0,5,0,4,0,3,0
hoot-compiler,Hoot.Compiler.Scopes,Nest,7,31,0,0,2,6,2,6,2,6
hoot-compiler,Hoot.Compiler.Scopes,Block,216,405,18,42,32,52,46,63,31,48
hoot-compiler,Hoot.Compiler.Scopes,BinarySignature,12,24,0,0,1,7,2,3,2,3
hoot-compiler,Hoot.Compiler.Scopes,ScopeSource,39,194,0,0,6,32,4,14,4,14
hoot-compiler,Hoot.Compiler.Notes,Comment,55,51,12,2,13,9,10,9,3,9
hoot-compiler,Hoot.Compiler.Notes,KeywordNote,18,90,3,5,1,16,5,13,2,12
hoot-compiler,Hoot.Compiler.Expressions,Expression,306,357,74,44,43,66,59,54,16,38
hoot-compiler,Hoot.Compiler.Expressions,Import,17,330,4,10,0,49,5,28,1,25
hoot-compiler,Hoot.Compiler.Expressions,Construct,8,33,0,0,1,6,1,5,1,5
hoot-compiler,Hoot.Compiler.Expressions,UnarySequence,145,398,38,54,18,65,38,60,10,42
hoot-compiler,Hoot.Compiler.Expressions,Message,474,141,53,7,74,29,67,15,40,12
hoot-compiler,Hoot.Compiler.Expressions,Formula,58,244,11,21,7,42,13,34,4,27
hoot-compiler,Hoot.Compiler.Expressions,KeywordMessage,323,958,26,36,37,137,39,57,19,46
hoot-compiler,Hoot.Compiler.Expressions,Statement,15,175,6,18,4,31,6,26,0,20
hoot-compiler,Hoot.Compiler.Expressions,MessageSource,137,102,6,2,15,11,17,10,13,10
hoot-compiler,Hoot.Compiler.Expressions,Primary,48,114,18,8,6,20,19,20,6,20
hoot-compiler,Hoot.Compiler.Expressions,BinaryMessage,4,72,1,3,1,12,2,12,1,11
hoot-compiler,Hoot.Compiler,HootParser.MessageContext,2,22,0,0,1,7,1,3,1,3
hoot-compiler,Hoot.Compiler,HootParser.BinarySignatureContext,20,26,2,2,4,7,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.MembersKeywordContext,7,21,2,2,2,6,4,3,2,3
hoot-compiler,Hoot.Compiler,HootParser.KeywordHeadContext,13,24,2,2,3,7,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.ClassHeritageContext,13,21,2,2,3,6,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.BlockScopeContext,24,23,2,2,4,7,6,4,4,4
hoot-compiler,Hoot.Compiler,HootParser.SignedTypeContext,14,24,2,2,3,7,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.ProtocolScopeContext,28,26,2,2,6,7,8,3,6,3
hoot-compiler,Hoot.Compiler,HootLexer,14,932,0,8,7,23,7,6,7,2
hoot-compiler,Hoot.Compiler,HootParser.TypeNotationContext,18,24,2,2,4,7,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.BinaryMessageContext,14,21,2,2,3,6,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.TypeScopeContext,18,26,2,2,4,7,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.GenericTypesContext,27,29,2,2,6,8,8,3,6,3
hoot-compiler,Hoot.Compiler,HootParser.ValueNameContext,14,24,2,2,3,7,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.MethodBegContext,5,23,2,2,1,7,3,4,1,4
hoot-compiler,Hoot.Compiler,HootParser.GlobalNameContext,7,24,2,2,2,7,4,3,2,3
hoot-compiler,Hoot.Compiler,HootParser.TypeHeritageContext,26,26,2,2,6,7,8,3,6,3
hoot-compiler,Hoot.Compiler,HootParser.PrimitiveValuesContext,53,0,4,0,13,0,11,0,9,0
hoot-compiler,Hoot.Compiler,HootParser.NotationsContext,12,26,2,2,3,7,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.PrimaryContext,32,24,2,2,6,7,8,3,6,3
hoot-compiler,Hoot.Compiler,HootParser.ReservedWordContext,62,21,2,2,13,6,15,3,13,3
hoot-compiler,Hoot.Compiler,HootParser.BlockSignatureContext,31,33,2,2,6,9,8,4,6,4
hoot-compiler,Hoot.Compiler,HootParser.DetailedTypeContext,14,24,2,2,3,7,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.NamedValueContext,20,24,2,2,4,7,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.NamedArgumentContext,20,21,2,2,4,6,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.StatementContext,14,21,2,2,3,6,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.MetatypeKeywordContext,28,0,4,0,8,0,7,0,5,0
hoot-compiler,Hoot.Compiler,HootParser.ExtendTypeContext,19,24,2,2,4,7,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.ClassKeywordContext,28,0,4,0,8,0,7,0,5,0
hoot-compiler,Hoot.Compiler,HootParser.ProtocolSignatureContext,26,24,2,2,5,7,7,3,5,3
hoot-compiler,Hoot.Compiler,HootParser.ConstructContext,28,31,2,2,6,8,8,3,6,3
hoot-compiler,Hoot.Compiler,HootParser.KeywordTailContext,7,24,2,2,2,7,4,3,2,3
hoot-compiler,Hoot.Compiler,HootParser,2288,6219,113,165,583,1201,125,181,22,117
hoot-compiler,Hoot.Compiler,HootParser.HeadsAndTailsContext,32,36,2,2,7,9,9,3,7,3
hoot-compiler,Hoot.Compiler,HootParser.ClassUnaryContext,7,21,2,2,2,6,4,3,2,3
hoot-compiler,Hoot.Compiler,HootParser.ClassMemberContext,14,21,2,2,3,6,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.SubclassKeywordContext,7,21,2,2,2,6,4,3,2,3
hoot-compiler,Hoot.Compiler,HootParser.MethodEndContext,5,23,2,2,1,7,3,4,1,4
hoot-compiler,Hoot.Compiler,HootParser.ElementValuesContext,27,26,2,2,6,7,8,3,6,3
hoot-compiler,Hoot.Compiler,HootParser.BinarySelectionContext,28,0,4,0,6,0,6,0,4,0
hoot-compiler,Hoot.Compiler,HootParser.UnarySelectionContext,6,22,2,2,1,5,3,3,1,3
hoot-compiler,Hoot.Compiler,HootParser.MethodSignatureContext,20,21,2,2,4,6,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.TypeNotesContext,21,26,2,2,5,7,7,3,5,3
hoot-compiler,Hoot.Compiler,HootBaseListener,23,158,0,0,23,156,23,156,23,156
hoot-compiler,Hoot.Compiler,HootParser.RadixedNumberContext,38,0,4,0,10,0,9,0,7,0
hoot-compiler,Hoot.Compiler,HootParser.NamedVariableContext,36,21,2,2,7,6,9,3,7,3
hoot-compiler,Hoot.Compiler,HootParser.BlockBegContext,5,23,2,2,1,7,3,4,1,4
hoot-compiler,Hoot.Compiler,HootParser.ProtocolKeywordContext,28,0,4,0,8,0,7,0,5,0
hoot-compiler,Hoot.Compiler,HootParser.UnarySignatureContext,14,21,2,2,3,6,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.CompilationUnitContext,30,21,2,2,6,6,8,3,6,3
hoot-compiler,Hoot.Compiler,HootParser.ClassSignatureContext,43,21,2,2,8,6,10,3,8,3
hoot-compiler,Hoot.Compiler,HootParser.ExpressionContext,24,26,2,2,5,7,7,3,5,3
hoot-compiler,Hoot.Compiler,HootParser.ClassScopeContext,18,26,2,2,4,7,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.SelfishContext,14,21,2,2,3,6,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.EvaluationContext,8,21,2,2,2,6,4,3,2,3
hoot-compiler,Hoot.Compiler,HootParser.VariableNameContext,7,24,2,2,2,7,4,3,2,3
hoot-compiler,Hoot.Compiler,HootParser.LiteralContext,68,21,2,2,13,6,15,3,13,3
hoot-compiler,Hoot.Compiler,HootParser.LiteralNilContext,7,21,2,2,2,6,4,3,2,3
hoot-compiler,Hoot.Compiler,HootParser.NotationContext,38,34,2,2,8,9,10,3,8,3
hoot-compiler,Hoot.Compiler,HootParser.DetailedSignatureContext,19,24,2,2,4,7,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.KeywordMessageContext,32,36,2,2,7,9,9,3,7,3
hoot-compiler,Hoot.Compiler,HootParser.TypeSignatureContext,37,21,2,2,7,6,9,3,7,3
hoot-compiler,Hoot.Compiler,HootParser.PrimitiveContext,39,21,2,2,8,6,10,3,8,3
hoot-compiler,Hoot.Compiler,HootParser.MetaUnaryContext,14,21,2,2,3,6,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.GlobalReferenceContext,12,29,2,2,3,8,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.MessageCascadeContext,13,21,2,2,3,6,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.LiteralSuperContext,7,21,2,2,2,6,4,3,2,3
hoot-compiler,Hoot.Compiler,HootParser.KeywordSelectionContext,6,22,2,2,1,5,3,3,1,3
hoot-compiler,Hoot.Compiler,HootParser.BlockEndContext,5,23,2,2,1,7,3,4,1,4
hoot-compiler,Hoot.Compiler,HootParser.TypeUnaryContext,7,21,2,2,2,6,4,3,2,3
hoot-compiler,Hoot.Compiler,HootParser.ImportSelectorContext,17,21,2,2,4,6,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.TypeKeywordContext,28,0,4,0,8,0,7,0,5,0
hoot-compiler,Hoot.Compiler,HootParser.BlockContentContext,27,31,2,2,6,8,8,3,6,3
hoot-compiler,Hoot.Compiler,HootParser.LiteralBooleanContext,12,21,2,2,3,6,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.FileImportContext,25,21,2,2,5,6,7,3,5,3
hoot-compiler,Hoot.Compiler,HootParser.NakedValueContext,20,24,2,2,4,7,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.ElementValueContext,35,0,4,0,9,0,8,0,6,0
hoot-compiler,Hoot.Compiler,HootParser.CaseOptionContext,28,0,4,0,8,0,7,0,5,0
hoot-compiler,Hoot.Compiler,HootParser.ExitResultContext,13,21,2,2,3,6,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.NestedTermContext,18,21,2,2,4,6,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.BinaryOperatorContext,27,21,2,2,6,6,8,3,6,3
hoot-compiler,Hoot.Compiler,HootParser.KeywordSignatureContext,14,21,2,2,3,6,5,3,3,3
hoot-compiler,Hoot.Compiler,HootParser.UnarySelectorContext,22,24,2,2,5,7,7,3,5,3
hoot-compiler,Hoot.Compiler,HootParser.MetaclassKeywordContext,28,0,4,0,8,0,7,0,5,0
hoot-compiler,Hoot.Compiler,HootParser.LiteralSelfContext,7,21,2,2,2,6,4,3,2,3
hoot-compiler,Hoot.Compiler,HootParser.UnarySequenceContext,18,26,2,2,4,7,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.SubtypeKeywordContext,7,21,2,2,2,6,4,3,2,3
hoot-compiler,Hoot.Compiler,HootParser.ImplementsKeywordContext,28,0,4,0,8,0,7,0,5,0
hoot-compiler,Hoot.Compiler,HootParser.FormulaContext,18,26,2,2,4,7,6,3,4,3
hoot-compiler,Hoot.Compiler,HootParser.AssignmentContext,31,21,2,2,6,6,8,3,6,3
hoot-compiler,Hoot.Compiler,HootMain,253,780,34,30,19,120,46,82,22,74
hoot-compiler,Hoot.Compiler,HootParser.MethodScopeContext,41,23,2,2,7,7,9,4,7,4
hoot-compiler,Hoot.Compiler.Constants,LiteralCharacter,38,0,2,0,7,0,8,0,7,0
hoot-compiler,Hoot.Compiler.Constants,LiteralSymbol,62,0,8,0,13,0,13,0,9,0
