GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hoot-maven-plugin,Hoot.Runtime.Faces,Logging.new Logging() {...},0,3,0,0,0,1,0,1,0,1
hoot-maven-plugin,Hoot.Runtime.Faces,Logging,104,26,14,0,16,6,19,6,12,6
hoot-maven-plugin,Hoot.Compiler.Mojo,HootMojo,90,233,6,8,15,45,10,24,4,23
hoot-maven-plugin,Hoot.Compiler.Mojo,Servant,4,119,0,4,0,20,0,10,0,8
hoot-maven-plugin,Hoot.Compiler.Mojo,Discovery,20,161,4,4,1,32,4,19,0,19
hoot-maven-plugin,Hoot.Compiler.Mojo,HelpMojo,802,0,110,0,159,0,71,0,16,0
hoot-maven-plugin,Hoot.Runtime.Functions,Utils,457,59,74,10,49,9,92,11,51,10
hoot-maven-plugin,Hoot.Runtime.Functions,Exceptional.Argued,30,0,2,0,4,0,3,0,2,0
hoot-maven-plugin,Hoot.Runtime.Functions,Exceptional.new Exceptional() {...},0,3,0,0,0,1,0,1,0,1
hoot-maven-plugin,Hoot.Runtime.Functions,Exceptional.Runner,6,14,1,1,0,2,1,2,0,2
hoot-maven-plugin,Hoot.Runtime.Functions,Exceptional,128,47,3,1,17,11,22,8,20,8
hoot-maven-plugin,Hoot.Runtime.Functions,Exceptional.Result,12,16,1,1,0,4,1,2,0,2
