GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hoot-runtime,Hoot.Runtime.Names,Global,129,179,34,14,12,29,32,24,8,24
hoot-runtime,Hoot.Runtime.Names,TypeName,305,801,66,92,41,138,66,87,18,56
hoot-runtime,Hoot.Runtime.Names,Selector,131,230,15,1,21,54,26,10,18,10
hoot-runtime,Hoot.Runtime.Names,Name,99,718,28,44,23,138,25,28,4,13
hoot-runtime,Hoot.Runtime.Names,Primitive,429,851,43,35,72,179,70,56,41,46
hoot-runtime,Hoot.Runtime.Names,Signature,287,128,34,2,46,20,43,13,25,13
hoot-runtime,Hoot.Runtime.Behaviors,Signed,317,0,50,0,46,0,42,0,17,0
hoot-runtime,Hoot.Runtime.Behaviors,HootRegistry,161,702,5,5,22,59,28,19,23,19
hoot-runtime,Hoot.Runtime.Behaviors,Mirror,302,269,38,22,44,58,54,42,31,35
hoot-runtime,Hoot.Runtime.Behaviors,Typified,150,31,14,2,35,5,32,7,25,6
hoot-runtime,Hoot.Runtime.Behaviors,Scope,119,39,11,1,23,8,26,7,20,7
hoot-runtime,Hoot.Runtime.Behaviors,Invoke,96,281,12,18,12,50,15,35,6,29
hoot-runtime,Hoot.Runtime.Notes,Note,36,163,17,9,3,31,16,26,3,26
hoot-runtime,Hoot.Runtime.Notes,DetailedType,173,253,25,13,17,48,30,31,11,31
hoot-runtime,Hoot.Runtime.Notes,Decor,109,212,7,1,19,26,26,14,22,14
hoot-runtime,Hoot.Runtime.Notes,TypeList,164,184,21,15,19,24,36,23,22,19
hoot-runtime,Hoot.Runtime.Notes,NoteList,94,247,9,11,12,34,24,57,18,53
hoot-runtime,Hoot.Runtime.Notes,NoteSource,7,18,0,0,1,3,1,3,1,3
hoot-runtime,Hoot.Runtime.Blocks,Enclosure,523,252,30,12,75,54,88,38,70,35
hoot-runtime,Hoot.Runtime.Blocks,Enclosure.new MonadicValuable() {...},16,0,0,0,3,0,3,0,3,0
hoot-runtime,Hoot.Runtime.Exceptions,ExceptionContext,372,28,18,0,69,7,61,2,52,2
hoot-runtime,Hoot.Runtime.Exceptions,HandledException,15,0,2,0,3,0,4,0,3,0
hoot-runtime,Hoot.Runtime.Exceptions,ExceptionBase,15,16,0,0,5,1,5,1,5,1
hoot-runtime,Hoot.Runtime.Exceptions,HandlerBase,3,0,0,0,1,0,1,0,1,0
hoot-runtime,Hoot.Runtime.Exceptions,UnhandledException.Metaclass,8,13,0,0,2,3,2,3,2,3
hoot-runtime,Hoot.Runtime.Exceptions,ExceptionBase.Metaclass,8,12,0,0,4,3,4,3,4,3
hoot-runtime,Hoot.Runtime.Exceptions,UnhandledException,15,0,0,0,5,0,5,0,5,0
hoot-runtime,Hoot.Runtime.Maps,Library,301,486,11,11,56,72,51,39,43,36
hoot-runtime,Hoot.Runtime.Maps,Package,325,438,25,25,49,87,50,40,33,32
hoot-runtime,Hoot.Runtime.Maps,PathMap,72,234,9,19,10,37,14,28,8,20
hoot-runtime,Hoot.Runtime.Maps,MethodCache,348,140,38,4,64,23,37,5,18,3
hoot-runtime,Hoot.Runtime.Maps,Discovery,19,162,3,5,1,32,3,20,0,19
hoot-runtime,Hoot.Runtime.Maps,ZipMap,8,80,0,4,3,17,1,8,1,6
hoot-runtime,Hoot.Runtime.Maps,ClassPath,274,401,37,29,42,66,51,46,27,37
hoot-runtime,Hoot.Runtime.Values,Table,153,148,27,15,30,34,34,14,14,13
hoot-runtime,Hoot.Runtime.Values,Value,39,286,10,20,3,42,11,34,3,27
hoot-runtime,Hoot.Runtime.Values,Cacheable,8,46,3,7,1,6,4,8,1,6
hoot-runtime,Hoot.Runtime.Values,Frame,112,468,23,29,14,64,32,62,13,55
hoot-runtime,Hoot.Runtime.Values,ValueSource,83,28,3,1,9,2,8,2,6,2
hoot-runtime,Hoot.Runtime.Values,Variable,678,231,86,10,97,37,116,26,68,26
hoot-runtime,Hoot.Runtime.Values,Operand,128,10,8,0,37,3,37,2,33,2
hoot-runtime,Hoot.Runtime.Values,CachedStack,25,118,11,13,2,16,11,16,2,13
hoot-runtime,Hoot.Runtime.Values,Exit,33,0,0,0,7,0,5,0,5,0
hoot-runtime,Hoot.Runtime.Emissions,Item,506,76,71,3,85,16,97,14,61,13
hoot-runtime,Hoot.Runtime.Emissions,NamedItem,97,4,16,0,17,1,20,1,12,1
