GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
libs-hoot,Hoot.Exceptions,Exception.Metaclass,158,38,0,0,27,10,12,6,12,6
libs-hoot,Hoot.Exceptions,ArithmeticError,4,3,0,0,2,1,2,1,2,1
libs-hoot,Hoot.Exceptions,Notification.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Exceptions,FileCheckError.Metaclass,54,15,0,0,8,6,4,4,4,4
libs-hoot,Hoot.Exceptions,ExceptionSet.Metaclass,25,15,0,0,4,6,2,4,2,4
libs-hoot,Hoot.Exceptions,Warning,2,5,0,0,1,2,1,2,1,2
libs-hoot,Hoot.Exceptions,UnhandledJavaException.Metaclass,15,13,0,0,5,5,2,3,2,3
libs-hoot,Hoot.Exceptions,Error.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Exceptions,ZeroDivide,21,15,0,0,7,6,3,2,3,2
libs-hoot,Hoot.Exceptions,ExceptionSet,59,0,0,0,14,0,6,0,6,0
libs-hoot,Hoot.Exceptions,Exception,477,244,2,4,118,61,42,19,40,18
libs-hoot,Hoot.Exceptions,Notification,4,12,0,0,2,4,2,2,2,2
libs-hoot,Hoot.Exceptions,Warning.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Exceptions,MessageNotUnderstood.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Exceptions,ControlError.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Exceptions,UnhandledJavaException,81,0,0,0,28,0,8,0,8,0
libs-hoot,Hoot.Exceptions,ControlError,7,0,0,0,3,0,3,0,3,0
libs-hoot,Hoot.Exceptions,ArithmeticError.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Exceptions,Error,4,3,0,0,2,1,2,1,2,1
libs-hoot,Hoot.Exceptions,UnresumableException.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Exceptions,ZeroDivide.Metaclass,0,41,0,0,0,10,0,6,0,6
libs-hoot,Hoot.Exceptions,MessageNotUnderstood,48,0,0,0,16,0,6,0,6,0
libs-hoot,Hoot.Exceptions,UnresumableException,7,0,0,0,3,0,3,0,3,0
libs-hoot,Hoot.Exceptions,FileCheckError,36,0,0,0,13,0,5,0,5,0
libs-hoot,Smalltalk.Collections,Collected,17,0,2,0,3,0,2,0,1,0
libs-hoot,Hoot.Metrics,MetricsSnapshot,80,143,1,1,20,30,21,6,20,6
libs-hoot,Hoot.Tools,HootRunner.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Tools,HootRunner,17,167,1,3,5,43,4,11,3,10
libs-hoot,Hoot.Collections,Symbol,139,52,0,0,39,15,12,4,12,4
libs-hoot,Hoot.Collections,Collection,1254,367,5,5,227,81,84,25,79,25
libs-hoot,Hoot.Collections,CharacterString,287,602,0,0,57,110,23,42,23,42
libs-hoot,Hoot.Collections,ByteArray,211,113,2,0,53,29,16,9,15,9
libs-hoot,Hoot.Collections,ArrayedCollection.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Collections,Array.Metaclass,250,40,0,0,32,10,16,6,16,6
libs-hoot,Hoot.Collections,SequencedCollection,1658,1130,7,3,266,170,105,50,101,49
libs-hoot,Hoot.Collections,String,423,706,6,6,87,159,33,45,27,45
libs-hoot,Hoot.Collections,Bag.Metaclass,24,39,0,0,4,10,2,6,2,6
libs-hoot,Hoot.Collections,String.Metaclass,0,88,0,0,0,18,0,10,0,10
libs-hoot,Hoot.Collections,IdentitySet.Metaclass,74,39,0,0,12,10,6,6,6,6
libs-hoot,Hoot.Collections,Bag,365,157,0,0,76,31,26,10,26,10
libs-hoot,Hoot.Collections,CharacterString.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Collections,Set,197,228,0,0,45,53,16,15,16,15
libs-hoot,Hoot.Collections,ArrayedCollection,84,3,0,0,19,1,7,1,7,1
libs-hoot,Hoot.Collections,SortedCollection,383,139,3,1,90,34,28,8,26,8
libs-hoot,Hoot.Collections,Interval,261,675,3,1,60,122,20,43,18,43
libs-hoot,Hoot.Collections,SequencedCollection.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Collections,Symbol.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Collections,IdentityDictionary,79,45,0,0,19,12,6,3,6,3
libs-hoot,Hoot.Collections,Dictionary.Metaclass,0,174,0,0,0,32,0,15,0,15
libs-hoot,Hoot.Collections,Set.Metaclass,225,63,0,0,28,14,14,8,14,8
libs-hoot,Hoot.Collections,Collection.Metaclass,195,84,0,0,35,20,13,10,13,10
libs-hoot,Hoot.Collections,IdentitySet,54,20,0,0,14,6,4,2,4,2
libs-hoot,Hoot.Collections,SortedCollection.Metaclass,89,65,0,0,15,15,7,8,7,8
libs-hoot,Hoot.Collections,OrderedCollection,422,289,1,1,83,68,30,19,29,19
libs-hoot,Hoot.Collections,StringPattern,4,30,0,0,2,8,2,2,2,2
libs-hoot,Hoot.Collections,StringPattern.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Collections,Interval.Metaclass,0,98,0,0,0,18,0,10,0,10
libs-hoot,Hoot.Collections,IdentityDictionary.Metaclass,24,63,0,0,4,14,2,8,2,8
libs-hoot,Hoot.Collections,Dictionary,577,650,3,5,108,125,39,39,36,38
libs-hoot,Hoot.Collections,ByteArray.Metaclass,48,97,0,0,8,21,4,9,4,9
libs-hoot,Hoot.Collections,OrderedCollection.Metaclass,49,264,0,0,8,38,4,20,4,20
libs-hoot,Hoot.Collections,Array,141,209,0,0,40,50,11,15,11,15
libs-hoot,Hoot.Streams,TextWriteStream,24,47,0,0,6,13,2,4,2,4
libs-hoot,Hoot.Streams,CollectionStream,89,54,0,0,26,15,9,4,9,4
libs-hoot,Hoot.Streams,FileReadStream.Metaclass,36,86,0,0,5,15,3,8,3,8
libs-hoot,Hoot.Streams,TextFileReadStream,91,81,0,4,25,23,8,8,8,6
libs-hoot,Hoot.Streams,ReadStream,282,11,4,0,59,4,22,1,20,1
libs-hoot,Hoot.Streams,TextFileWriteStream,82,53,0,0,24,15,7,5,7,5
libs-hoot,Hoot.Streams,FileStream,256,89,2,2,50,20,20,7,19,6
libs-hoot,Hoot.Streams,TextReadStream.Metaclass,24,39,0,0,4,10,2,6,2,6
libs-hoot,Hoot.Streams,TextReadStream,100,46,0,0,17,12,7,4,7,4
libs-hoot,Hoot.Streams,CollectionStream.Metaclass,0,15,0,0,0,6,0,4,0,4
libs-hoot,Hoot.Streams,TextFileReadStream.Metaclass,0,39,0,0,0,10,0,6,0,6
libs-hoot,Hoot.Streams,FileWriteStream.Metaclass,90,81,9,3,16,17,10,7,4,7
libs-hoot,Hoot.Streams,WriteStream.Metaclass,0,59,0,0,0,14,0,8,0,8
libs-hoot,Hoot.Streams,BinaryFileWriteStream.Metaclass,24,15,0,0,4,6,2,4,2,4
libs-hoot,Hoot.Streams,BinaryFileWriteStream,239,0,0,0,56,0,18,0,18,0
libs-hoot,Hoot.Streams,TextFileWriteStream.Metaclass,0,39,0,0,0,10,0,6,0,6
